time,clintellimqtt_consumer.value
2019-08-11T17:54:34.700Z,522
2019-08-11T17:54:34.701Z,520
2019-08-11T17:54:34.702Z,818
2019-08-11T17:54:34.703Z,421
2019-08-11T17:54:34.704Z,512
2019-08-11T17:54:34.705Z,517
2019-08-11T17:54:34.706Z,526
2019-08-11T17:54:34.859Z,536
2019-08-11T17:54:34.860Z,549
2019-08-11T17:54:34.861Z,565
2019-08-11T17:54:34.862Z,596
2019-08-11T17:54:34.863Z,643
2019-08-11T17:54:34.864Z,670
2019-08-11T17:54:34.865Z,651
2019-08-11T17:54:35.018Z,620
2019-08-11T17:54:35.019Z,535
2019-08-11T17:54:35.020Z,514
2019-08-11T17:54:35.021Z,518
2019-08-11T17:54:35.022Z,526
2019-08-11T17:54:35.023Z,541
2019-08-11T17:54:35.024Z,547
2019-08-11T17:54:35.177Z,544
2019-08-11T17:54:35.178Z,553
2019-08-11T17:54:35.179Z,557
2019-08-11T17:54:35.180Z,560
2019-08-11T17:54:35.181Z,561
2019-08-11T17:54:35.182Z,566
2019-08-11T17:54:35.183Z,578
2019-08-11T17:54:35.336Z,588
2019-08-11T17:54:35.337Z,583
2019-08-11T17:54:35.338Z,579
2019-08-11T17:54:35.339Z,589
2019-08-11T17:54:35.340Z,583
2019-08-11T17:54:35.341Z,593
2019-08-11T17:54:35.342Z,616
2019-08-11T17:54:35.496Z,603
2019-08-11T17:54:35.497Z,571
2019-08-11T17:54:35.498Z,578
2019-08-11T17:54:35.499Z,578
2019-08-11T17:54:35.500Z,844
2019-08-11T17:54:35.501Z,388
2019-08-11T17:54:35.502Z,561
2019-08-11T17:54:35.655Z,556
2019-08-11T17:54:35.656Z,556
2019-08-11T17:54:35.657Z,560
2019-08-11T17:54:35.658Z,571
2019-08-11T17:54:35.659Z,586
2019-08-11T17:54:35.660Z,601
2019-08-11T17:54:35.661Z,617
2019-08-11T17:54:35.662Z,656
2019-08-11T17:54:35.813Z,663
2019-08-11T17:54:35.814Z,661
2019-08-11T17:54:35.815Z,600
2019-08-11T17:54:35.816Z,525
2019-08-11T17:54:35.817Z,496
2019-08-11T17:54:35.818Z,487
2019-08-11T17:54:35.819Z,498
2019-08-11T17:54:35.972Z,496
2019-08-11T17:54:35.973Z,492
2019-08-11T17:54:35.974Z,490
2019-08-11T17:54:35.975Z,493
2019-08-11T17:54:35.976Z,497
2019-08-11T17:54:35.977Z,482
2019-08-11T17:54:35.978Z,484
2019-08-11T17:54:36.134Z,492
2019-08-11T17:54:36.135Z,485
2019-08-11T17:54:36.136Z,489
